,index,song_id,song,sp_name,tiktok_stats,value,timestp,diff
74,0,1,Roxanne,ROXANNE,"{'value': 2550655, 'timestp': '2020-04-29T00:00:00.000Z', 'diff': -506}",2550655.0,2020-04-29T00:00:00.000Z,-506.0
75,0,1,Roxanne,ROXANNE,"{'value': 2550577, 'timestp': '2020-04-30T00:00:00.000Z', 'diff': -78}",2550577.0,2020-04-30T00:00:00.000Z,-78.0
76,0,1,Roxanne,ROXANNE,"{'value': 2552074, 'timestp': '2020-05-05T00:00:00.000Z', 'diff': 1497}",2552074.0,2020-05-05T00:00:00.000Z,1497.0
77,0,1,Roxanne,ROXANNE,"{'value': 2552126, 'timestp': '2020-05-06T00:00:00.000Z', 'diff': 52}",2552126.0,2020-05-06T00:00:00.000Z,52.0
78,0,1,Roxanne,ROXANNE,"{'value': 2552122, 'timestp': '2020-05-07T00:00:00.000Z', 'diff': -4}",2552122.0,2020-05-07T00:00:00.000Z,-4.0
79,0,1,Roxanne,ROXANNE,"{'value': 2552103, 'timestp': '2020-05-08T00:00:00.000Z', 'diff': -19}",2552103.0,2020-05-08T00:00:00.000Z,-19.0
80,0,1,Roxanne,ROXANNE,"{'value': 2551788, 'timestp': '2020-05-09T00:00:00.000Z', 'diff': -315}",2551788.0,2020-05-09T00:00:00.000Z,-315.0
81,0,1,Roxanne,ROXANNE,"{'value': 2551763, 'timestp': '2020-05-10T00:00:00.000Z', 'diff': -25}",2551763.0,2020-05-10T00:00:00.000Z,-25.0
82,0,1,Roxanne,ROXANNE,"{'value': 2552411, 'timestp': '2020-05-11T00:00:00.000Z', 'diff': 648}",2552411.0,2020-05-11T00:00:00.000Z,648.0
83,0,1,Roxanne,ROXANNE,"{'value': 2552335, 'timestp': '2020-05-12T00:00:00.000Z', 'diff': -76}",2552335.0,2020-05-12T00:00:00.000Z,-76.0
